Filename = 1.out.txt, no_of_character_errs = 17, ground_truth_length = 40, output_length = 30, Percentage Character Errors = 42.5%
Filename = 10.out.txt, no_of_character_errs = 9, ground_truth_length = 9, output_length = 30, Percentage Character Errors = 100.0%
Filename = 100.out.txt, no_of_character_errs = 9, ground_truth_length = 41, output_length = 39, Percentage Character Errors = 21.9512195122%
Filename = 1000.out.txt, no_of_character_errs = 12, ground_truth_length = 40, output_length = 33, Percentage Character Errors = 30.0%
Filename = 1001.out.txt, no_of_character_errs = 16, ground_truth_length = 38, output_length = 47, Percentage Character Errors = 42.1052631579%
Filename = 1002.out.txt, no_of_character_errs = 17, ground_truth_length = 39, output_length = 37, Percentage Character Errors = 43.5897435897%
Filename = 1003.out.txt, no_of_character_errs = 10, ground_truth_length = 28, output_length = 28, Percentage Character Errors = 35.7142857143%
Filename = 1004.out.txt, no_of_character_errs = 16, ground_truth_length = 40, output_length = 32, Percentage Character Errors = 40.0%
Filename = 1005.out.txt, no_of_character_errs = 21, ground_truth_length = 54, output_length = 46, Percentage Character Errors = 38.8888888889%
Filename = 1006.out.txt, no_of_character_errs = 34, ground_truth_length = 93, output_length = 79, Percentage Character Errors = 36.5591397849%
Filename = 1007.out.txt, no_of_character_errs = 5, ground_truth_length = 34, output_length = 32, Percentage Character Errors = 14.7058823529%
Filename = 1008.out.txt, no_of_character_errs = 5, ground_truth_length = 12, output_length = 12, Percentage Character Errors = 41.6666666667%
Filename = 1009.out.txt, no_of_character_errs = 17, ground_truth_length = 37, output_length = 33, Percentage Character Errors = 45.9459459459%
Filename = 101.out.txt, no_of_character_errs = 20, ground_truth_length = 73, output_length = 63, Percentage Character Errors = 27.397260274%
Filename = 1010.out.txt, no_of_character_errs = 13, ground_truth_length = 41, output_length = 41, Percentage Character Errors = 31.7073170732%
Filename = 1011.out.txt, no_of_character_errs = 10, ground_truth_length = 37, output_length = 42, Percentage Character Errors = 27.027027027%
Filename = 1012.out.txt, no_of_character_errs = 19, ground_truth_length = 35, output_length = 25, Percentage Character Errors = 54.2857142857%
Filename = 1013.out.txt, no_of_character_errs = 10, ground_truth_length = 42, output_length = 38, Percentage Character Errors = 23.8095238095%
Filename = 1014.out.txt, no_of_character_errs = 13, ground_truth_length = 75, output_length = 72, Percentage Character Errors = 17.3333333333%
Filename = 1015.out.txt, no_of_character_errs = 19, ground_truth_length = 41, output_length = 40, Percentage Character Errors = 46.3414634146%
Filename = 1016.out.txt, no_of_character_errs = 20, ground_truth_length = 39, output_length = 29, Percentage Character Errors = 51.2820512821%
Filename = 1017.out.txt, no_of_character_errs = 5, ground_truth_length = 37, output_length = 35, Percentage Character Errors = 13.5135135135%
Filename = 1018.out.txt, no_of_character_errs = 13, ground_truth_length = 19, output_length = 16, Percentage Character Errors = 68.4210526316%
Filename = 1019.out.txt, no_of_character_errs = 11, ground_truth_length = 18, output_length = 15, Percentage Character Errors = 61.1111111111%
Filename = 102.out.txt, no_of_character_errs = 41, ground_truth_length = 41, output_length = 15, Percentage Character Errors = 100.0%
Filename = 1020.out.txt, no_of_character_errs = 20, ground_truth_length = 69, output_length = 63, Percentage Character Errors = 28.9855072464%
Filename = 1021.out.txt, no_of_character_errs = 18, ground_truth_length = 40, output_length = 37, Percentage Character Errors = 45.0%
Filename = 1022.out.txt, no_of_character_errs = 18, ground_truth_length = 41, output_length = 32, Percentage Character Errors = 43.9024390244%
Filename = 1023.out.txt, no_of_character_errs = 10, ground_truth_length = 38, output_length = 40, Percentage Character Errors = 26.3157894737%
Filename = 1024.out.txt, no_of_character_errs = 22, ground_truth_length = 37, output_length = 28, Percentage Character Errors = 59.4594594595%
Filename = 1025.out.txt, no_of_character_errs = 18, ground_truth_length = 39, output_length = 31, Percentage Character Errors = 46.1538461538%
Filename = 1026.out.txt, no_of_character_errs = 12, ground_truth_length = 41, output_length = 37, Percentage Character Errors = 29.2682926829%
Filename = 1027.out.txt, no_of_character_errs = 14, ground_truth_length = 34, output_length = 29, Percentage Character Errors = 41.1764705882%
Filename = 1028.out.txt, no_of_character_errs = 10, ground_truth_length = 13, output_length = 11, Percentage Character Errors = 76.9230769231%
Filename = 1029.out.txt, no_of_character_errs = 20, ground_truth_length = 39, output_length = 35, Percentage Character Errors = 51.2820512821%
Filename = 103.out.txt, no_of_character_errs = 10, ground_truth_length = 32, output_length = 32, Percentage Character Errors = 31.25%
Filename = 104.out.txt, no_of_character_errs = 8, ground_truth_length = 16, output_length = 15, Percentage Character Errors = 50.0%
Filename = 105.out.txt, no_of_character_errs = 24, ground_truth_length = 42, output_length = 38, Percentage Character Errors = 57.1428571429%
Filename = 106.out.txt, no_of_character_errs = 11, ground_truth_length = 70, output_length = 65, Percentage Character Errors = 15.7142857143%
Filename = 107.out.txt, no_of_character_errs = 6, ground_truth_length = 40, output_length = 42, Percentage Character Errors = 15.0%
Filename = 108.out.txt, no_of_character_errs = 7, ground_truth_length = 20, output_length = 18, Percentage Character Errors = 35.0%
Filename = 109.out.txt, no_of_character_errs = 7, ground_truth_length = 26, output_length = 28, Percentage Character Errors = 26.9230769231%
Filename = 11.out.txt, no_of_character_errs = 20, ground_truth_length = 38, output_length = 31, Percentage Character Errors = 52.6315789474%
Filename = 110.out.txt, no_of_character_errs = 18, ground_truth_length = 88, output_length = 88, Percentage Character Errors = 20.4545454545%
Filename = 111.out.txt, no_of_character_errs = 99, ground_truth_length = 99, output_length = 88, Percentage Character Errors = 100.0%
Filename = 112.out.txt, no_of_character_errs = 5, ground_truth_length = 56, output_length = 56, Percentage Character Errors = 8.92857142857%
Filename = 113.out.txt, no_of_character_errs = 26, ground_truth_length = 51, output_length = 42, Percentage Character Errors = 50.9803921569%
